PING 172.16.114.238 (172.16.114.238) 56(84) bytes of data.
64 bytes from 172.16.114.238: icmp_seq=327 ttl=61 time=0.467 ms
64 bytes from 172.16.114.238: icmp_seq=328 ttl=61 time=0.539 ms
64 bytes from 172.16.114.238: icmp_seq=329 ttl=61 time=0.269 ms
64 bytes from 172.16.114.238: icmp_seq=330 ttl=61 time=0.309 ms
64 bytes from 172.16.114.238: icmp_seq=331 ttl=61 time=0.504 ms
64 bytes from 172.16.114.238: icmp_seq=332 ttl=61 time=0.254 ms
64 bytes from 172.16.114.238: icmp_seq=333 ttl=61 time=0.400 ms
64 bytes from 172.16.114.238: icmp_seq=334 ttl=61 time=0.327 ms
64 bytes from 172.16.114.238: icmp_seq=335 ttl=61 time=0.538 ms
64 bytes from 172.16.114.238: icmp_seq=336 ttl=61 time=0.489 ms
64 bytes from 172.16.114.238: icmp_seq=337 ttl=61 time=0.362 ms
64 bytes from 172.16.114.238: icmp_seq=338 ttl=61 time=0.297 ms
64 bytes from 172.16.114.238: icmp_seq=339 ttl=61 time=0.286 ms
64 bytes from 172.16.114.238: icmp_seq=340 ttl=61 time=0.372 ms
64 bytes from 172.16.114.238: icmp_seq=341 ttl=61 time=0.494 ms
64 bytes from 172.16.114.238: icmp_seq=342 ttl=61 time=10.2 ms
64 bytes from 172.16.114.238: icmp_seq=343 ttl=61 time=0.555 ms
64 bytes from 172.16.114.238: icmp_seq=344 ttl=61 time=0.484 ms
64 bytes from 172.16.114.238: icmp_seq=345 ttl=61 time=0.478 ms
64 bytes from 172.16.114.238: icmp_seq=346 ttl=61 time=0.291 ms
64 bytes from 172.16.114.238: icmp_seq=347 ttl=61 time=0.475 ms
64 bytes from 172.16.114.238: icmp_seq=348 ttl=61 time=0.488 ms
64 bytes from 172.16.114.238: icmp_seq=349 ttl=61 time=0.351 ms
64 bytes from 172.16.114.238: icmp_seq=350 ttl=61 time=0.525 ms
64 bytes from 172.16.114.238: icmp_seq=351 ttl=61 time=0.314 ms
64 bytes from 172.16.114.238: icmp_seq=352 ttl=61 time=0.453 ms
64 bytes from 172.16.114.238: icmp_seq=353 ttl=61 time=0.388 ms
